类别,名称,经度,纬度,地址,类型,省,市,区县
商超,vivo(天乐园商场店),118.05771,36.793618,兴学街与金晶大道辅路交叉口西北20米,购物服务;家电电子卖场;家电电子卖场,山东省,淄博市,张店区
商超,东成专业电动工具(天乐园商场店),118.057002,36.792055,安乐街与杏园西路交叉口西北80米,购物服务;专卖店;专营店,山东省,淄博市,张店区
商超,德尔地板(红星美凯龙淄博昌国商场店),118.033325,36.782975,昌国路23号,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,名烟名酒(商场西街店),118.045371,36.804095,商场西街与商场西街北七巷交叉口东南40米,购物服务;专卖店;烟酒专卖店,山东省,淄博市,张店区
商超,顺发五金配钥匙大全,118.018837,36.848666,高新区大张新村1号沿街房,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,金贵族(商场西街店),118.045921,36.804109,小商品街83号,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,海林五金建材(石村居民小区齐鲁德艺城店),118.009446,36.81942,西八路金石苑沿街房67号,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,旭升五金,118.131626,36.789142,杏园街道办事处上湖村湖光路20号甲13号,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,广东靖达五金(盛世康城3期店),118.023225,36.783036,傅家镇鲁中材料城热力公司斜对面,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,泡泡玛特机器人商店(富力万达广场店),118.011122,36.838607,中润大道17号富力万达广场F1,购物服务;专卖店;专营店,山东省,淄博市,张店区
商超,世高五金工具建材商行(市建行宿舍店),118.053846,36.800252,西二路78号市建行宿舍,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,佳鑫盛五金,118.043705,36.83519,张桓路与中润大道交叉口南160米,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,淄博华川小商品城,118.02133,36.824093,[],购物服务;综合市场;小商品市场,山东省,淄博市,张店区
商超,盒马鲜生(富力万达广场店),118.010974,36.838866,万达广场B1层,购物服务;超级市场;超市,山东省,淄博市,张店区
商超,鲁中装饰材料城,118.020606,36.785234,昌国路与世纪路交叉口西300米,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,淄博义乌小商品城一期,118.021555,36.823656,华光路与瑞安路交叉口西北220米,购物服务;综合市场;小商品市场,山东省,淄博市,张店区
商超,银泰·金街,118.03485,36.848682,鲁泰大道9号(鲁泰大道与西五路交汇处),购物服务;商场;商场,山东省,淄博市,张店区
商超,百脑汇,118.048091,36.802835,柳泉路31号,购物服务;家电电子卖场;数码电子,山东省,淄博市,张店区
商超,淄博国际商贸城,117.99447,36.789472,昌国西路88号北京路与昌国路口东北角(原陶瓷科技城D馆),购物服务;商场;商场|购物服务;综合市场;综合市场,山东省,淄博市,张店区
商超,淄博新世界商业街,118.042176,36.805194,商业步行街北段路东,购物服务;特色商业街;步行街,山东省,淄博市,张店区
商超,八大局西门广场,118.06228,36.809413,金晶大道140号,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,常青园便民市场,118.03729,36.806015,西四路西街与南西五路交叉口东20米,购物服务;综合市场;农副产品市场,山东省,淄博市,张店区
商超,联华·盛德美生活广场(淄博店),117.989055,36.801376,和平路与北京路交叉口向西100米路北,购物服务;超级市场;超市,山东省,淄博市,张店区
商超,富尔玛国际家居,118.026557,36.814842,人民西路120号,购物服务;家居建材市场;家具城,山东省,淄博市,张店区
商超,鲁中家具城,118.042899,36.803976,商场西街121号,购物服务;家居建材市场;家具城,山东省,淄博市,张店区
商超,京东奥莱(淄博利群广场店),118.060524,36.800448,商场东路2号利群购物广场1-2层,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,山东省,淄博市,张店区
商超,盛德美超市(淄博鑫马吾悦广场店),118.000686,36.82423,马尚街道华光路288号淄博鑫马吾悦广场F1层,购物服务;超级市场;超市,山东省,淄博市,张店区
商超,优衣库(淄博万象汇店),118.062527,36.801504,金晶大道66号淄博万象汇L1层L125(3号门附近),购物服务;服装鞋帽皮具店;品牌服装店,山东省,淄博市,张店区
商超,大润发(福园店),118.027806,36.808057,世纪路与共青团路交叉口东南角的福园22-179-181号商业房,购物服务;超级市场;超市|地名地址信息;热点地名;热点地名,山东省,淄博市,张店区
商超,华为智能生活馆•淄博万象汇,118.061048,36.801426,金晶大道66号淄博万象汇L1层L160(2号门附近),购物服务;家电电子卖场;手机销售|购物服务;家电电子卖场;数码电子,山东省,淄博市,张店区
商超,王府井大街(淄博王府井广场店),118.051974,36.804646,公园街道共青团西路57号王府井广场G幢,购物服务;超级市场;北京华联|购物服务;特色商业街;特色商业街,山东省,淄博市,张店区
商超,淄博吉星装饰材料城,118.055809,36.799534,新村西路8号,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,嘉汇文具(新村路店),118.04424,36.80153,新村西路150-3号,购物服务;文化用品店;文化用品店,山东省,淄博市,张店区
商超,新星家电淄博中心店,118.059613,36.802739,金晶大道159号新星家电,购物服务;家电电子卖场;综合家电商场,山东省,淄博市,张店区
