类别,名称,经度,纬度,地址,类型,省,市,区县
公交站,五里桥生活区(公交站),118.030418,36.814198,102路/K102路;105路/K105路;116路/K116路(北线);116路/K116路(南线);2路/K2路;定制公交赏花灯专线四,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,杜科新村(公交站),118.071648,36.803452,定制公交赏花灯专线一,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,天星小区(公交站),118.036629,36.799080,138路东线;138路西线;223路/K223路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,庄园集团(公交站),118.044132,36.830065,121路/K121路;185路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,张店宾馆(公交站),118.055046,36.793731,121路/K121路;160路/K160路;251路/K251路;51路西线;95路/K95路;夜160路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄博火车站南广场(公交站),118.056511,36.786201,(停运)淄博烧烤专线10路;110路;1路直达;周村-淄博火车站(南广场);淄博烧烤专线5路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,魏家庄(公交站),118.069466,36.832218,116路/K116路(北线);116路/K116路(南线);122路/K122路;157路/K157路;162路;206路;51路(东线);71路;71路(6点30分),交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,八大局市场南门(临时站)(公交站),118.066253,36.804204,136路/K136路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,八一路八大局南门(临时站)(公交站),118.063658,36.803667,136路/K136路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市政务服务中心(市博物馆)(公交站),118.039177,36.801781,138路东线;138路西线,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,硅苑科技(公交站),118.058479,36.840339,125路/K125路;185路;251路/K251路;35路/K35路;51路西线;58路/K58路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄博口腔医院(公交站),118.027008,36.802939,102路/K102路;12路/K12路;157路/K157路;229路/K229路;257路/K257路;7路/K7路;90路/K90路北线;90路/K90路南线;96路/K96路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市政务服务中心(市博物馆)北门(公交站),118.039356,36.804880,222路/K222路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市第二康复医院(公交站),118.072980,36.817185,206路;266路/K266路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市中西医院(公交站),118.058470,36.795307,108路/K108路;122路/K122路;125路/K125路;126路/K126路;127路/K127路;12路/K12路;139路/K139路;159路/K159路;266路/K266路;51路(东线);76路/K76路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
